state,pollster,pop,vtype,method,begmm,begdd,begyy,endmm,enddd,endyy,trump,clinton,other,undecided,Begdate,Enddate,Middate
0,AL,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,55.0,36.0,7.0,2.0,,,
1,AK,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,48.0,31.0,18.0,3.0,,,
2,AZ,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,42.0,45.0,10.0,3.0,,,
3,AR,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,56.0,32.0,10.0,2.0,,,
4,CA,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,31.0,56.0,11.0,2.0,,,
5,CO,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,40.0,43.0,15.0,2.0,,,
6,CT,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,36.0,52.0,9.0,3.0,,,
7,DC,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,7.0,85.0,6.0,2.0,,,
8,DE,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,39.0,50.0,8.0,3.0,,,
9,FL,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,45.0,47.0,6.0,2.0,,,
10,GA,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,45.0,45.0,7.0,3.0,,,
11,HI,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,28.0,52.0,16.0,4.0,,,
12,ID,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,47.0,29.0,22.0,2.0,,,
13,IL,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,35.0,52.0,11.0,2.0,,,
14,IN,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,52.0,35.0,10.0,3.0,,,
15,IA,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,47.0,38.0,,,,,
16,KS,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,49.0,36.0,13.0,2.0,,,
17,KY,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,54.0,35.0,9.0,2.0,,,
18,LA,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,52.0,38.0,6.0,4.0,,,
19,ME,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,38.0,46.0,14.0,2.0,,,
20,MD,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,28.0,59.0,11.0,2.0,,,
21,MA,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,30.0,56.0,10.0,4.0,,,
22,MI,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,42.0,44.0,12.0,2.0,,,
23,MN,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,39.0,46.0,12.0,3.0,,,
24,MS,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,50.0,42.0,6.0,2.0,,,
25,MO,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,48.0,40.0,10.0,2.0,,,
26,MT,SurveyMonkey,,Likely Voters,Internet,11,1,2016,11,7,2016,52.0,30.0,14.0,4.0,,,
